2026-09-03T10:06:06.170744684Z I0903 10:06:06.170422       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-04T15:22:37.531315467Z W0904 15:22:37.531205       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:22:58.015792901Z W0904 15:22:58.015641       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:00.116188878Z W0904 15:23:00.115987       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:01.123343152Z W0904 15:23:01.123178       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:03.130181159Z W0904 15:23:03.129905       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:07.137786293Z W0904 15:23:07.137526       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:15.143570911Z W0904 15:23:15.143247       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:18.492231979Z W0904 15:23:18.492159       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:18.495625108Z W0904 15:23:18.495555       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:18.501146316Z W0904 15:23:18.501088       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:18.522323754Z W0904 15:23:18.522264       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:18.564237912Z W0904 15:23:18.564140       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:18.647093851Z W0904 15:23:18.646963       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:18.810043272Z W0904 15:23:18.809941       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:19.134700518Z W0904 15:23:19.134469       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:19.778349794Z W0904 15:23:19.778225       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:21.060870992Z W0904 15:23:21.060750       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:23.622944646Z W0904 15:23:23.622832       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:28.752681235Z W0904 15:23:28.752292       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:31.157120600Z W0904 15:23:31.156731       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:23:48.239371189Z E0904 15:23:48.239177       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-04T15:26:18.739173980Z I0904 15:26:18.738208       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-04T15:36:18.739162382Z I0904 15:36:18.738737       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-04T15:37:17.861113538Z W0904 15:37:17.861009       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:17.865016609Z W0904 15:37:17.864942       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:17.870365948Z W0904 15:37:17.870234       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:17.892843336Z W0904 15:37:17.892749       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:17.935318309Z W0904 15:37:17.935183       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:18.017729835Z W0904 15:37:18.017609       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:18.186925369Z W0904 15:37:18.186705       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:18.509795848Z W0904 15:37:18.509689       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:19.155969850Z W0904 15:37:19.155748       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:20.441344453Z W0904 15:37:20.441138       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:23.004578725Z W0904 15:37:23.004447       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:28.127693678Z W0904 15:37:28.127562       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:38.370960443Z W0904 15:37:38.370770       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:37:58.860722986Z W0904 15:37:58.860539       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:38:39.830094070Z W0904 15:38:39.829871       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:22.037493052Z W0904 15:39:22.037392       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:22.040167996Z W0904 15:39:22.040112       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:22.046344629Z W0904 15:39:22.046284       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:22.067461058Z W0904 15:39:22.067396       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:22.111436990Z W0904 15:39:22.111370       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:22.193977965Z W0904 15:39:22.193901       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:22.356775845Z W0904 15:39:22.356660       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:22.683571348Z W0904 15:39:22.683323       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:23.326735908Z W0904 15:39:23.326453       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:24.610957433Z W0904 15:39:24.610783       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:27.178283909Z W0904 15:39:27.178021       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:32.305047933Z W0904 15:39:32.304886       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:42.553337660Z W0904 15:39:42.553072       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:47.143688228Z W0904 15:39:47.143594       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:47.146310896Z W0904 15:39:47.146225       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:47.151586982Z W0904 15:39:47.151517       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:47.173038329Z W0904 15:39:47.172948       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:47.214935647Z W0904 15:39:47.214857       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:47.297191907Z W0904 15:39:47.297085       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:47.459692175Z W0904 15:39:47.459500       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:47.782132710Z W0904 15:39:47.781985       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:48.424711667Z W0904 15:39:48.424590       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:49.709939131Z W0904 15:39:49.709778       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:39:52.276000924Z W0904 15:39:52.275853       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:41:52.673508481Z W0904 15:41:52.672634       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:41:52.679197862Z W0904 15:41:52.679110       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:41:52.685217501Z W0904 15:41:52.685156       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:41:52.707023713Z W0904 15:41:52.706911       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:41:52.749105185Z W0904 15:41:52.748992       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:41:52.831545506Z W0904 15:41:52.831443       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:41:52.994774443Z W0904 15:41:52.994588       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:41:53.317912201Z W0904 15:41:53.317716       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:41:53.961482280Z W0904 15:41:53.961195       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:41:55.245719578Z W0904 15:41:55.245527       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:41:57.808411235Z W0904 15:41:57.808183       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:42:02.931989600Z W0904 15:42:02.931802       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:42:13.179367112Z W0904 15:42:13.179101       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:42:33.664264398Z W0904 15:42:33.664076       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:43:14.631115031Z W0904 15:43:14.630925       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:44:36.555237161Z W0904 15:44:36.555081       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:46:18.739601315Z I0904 15:46:18.738906       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-04T15:47:20.400933406Z W0904 15:47:20.400771       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:52:48.088828922Z W0904 15:52:48.088670       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T15:56:18.740767618Z I0904 15:56:18.740046       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-04T16:11:29.542313784Z W0904 16:11:29.542163       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-04T16:18:11.000804148Z I0904 16:18:11.000573       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-04T17:40:01.734106026Z E0904 17:40:01.733790       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-04T17:40:01.734201490Z E0904 17:40:01.733790       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-04T17:45:31.100488052Z E0904 17:45:31.100125       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-04T17:48:13.607552026Z I0904 17:48:13.607013       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-04T17:52:18.325358916Z E0904 17:52:18.325259       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-04T17:58:13.506939883Z I0904 17:58:13.506724       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-04T19:13:10.558607231Z E0904 19:13:10.558145       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-04T19:13:10.559041606Z E0904 19:13:10.558145       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-04T19:44:29.446328235Z I0904 19:44:29.445969       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-04T20:09:13.274838673Z E0904 20:09:13.274627       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-04T21:31:06.976949264Z E0904 21:31:06.976675       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-04T21:31:06.977011753Z E0904 21:31:06.976689       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T00:39:50.527426474Z E0905 00:39:50.527172       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T00:39:50.527505843Z E0905 00:39:50.527232       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T00:57:10.956558125Z E0905 00:57:10.956274       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T01:16:56.133632564Z I0905 01:16:56.133272       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-05T01:38:29.000956830Z E0905 01:38:29.000690       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T01:42:55.280406317Z E0905 01:42:55.279536       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T01:44:07.815018362Z I0905 01:44:07.814618       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-05T01:58:10.141114243Z E0905 01:58:10.140983       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T02:07:49.131528800Z I0905 02:07:49.131153       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-05T02:18:08.944183107Z E0905 02:18:08.943896       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T02:19:04.420868281Z W0905 02:19:04.420644       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T03:04:47.370617010Z E0905 03:04:47.370393       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T03:04:47.370679007Z E0905 03:04:47.370413       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T04:12:06.645865615Z E0905 04:12:06.645676       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T04:13:06.209884088Z I0905 04:13:06.209546       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-05T04:21:25.137585556Z E0905 04:21:25.137223       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
